ID,pIC50,SMILES,minimizedAffinity,CNNscore,CNNaffinity,Rank_Exp,Rank_Dock,Rank_Consenso
701271,6.173925197299173,O=CN(O)CCCP(=O)([O-])O,-6.36918497,0.943077743,5.94363785,86.0,37.5,123.5
50437804,5.698970004336019,O=C(c1ccc2ccccc2c1)N(O)CCCP(=O)(O)O,-8.06248951,0.908205867,6.2673316,116.5,9.0,125.5
50153713,6.3585258894959,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,78.0,47.5,125.5
50153713,6.356547323513812,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,79.0,47.5,126.5
50181154,7.229147988357855,O=CN(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-7.57784557,0.676274776,5.52202082,23.5,103.5,127.0
50181154,7.229147988357855,O=CN(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-7.57784557,0.676274776,5.52202082,23.5,103.5,127.0
50422651,6.640164517660112,O=C(c1cccc2ccccc12)N(O)CCCP(=O)(O)O,-7.17233467,0.865291059,5.74808311,56.0,71.0,127.0
50379999,6.590066876668706,O=C(CCCP(=O)(O)O)NO,-6.77251291,0.925255299,5.77150106,59.0,69.0,128.0
50181152,7.00436480540245,CC(=O)N(O)CCC(c1ccc(Cl)cc1)P(=O)(O)O,-7.66447163,0.814037085,5.56922531,33.5,95.0,128.5
50028309,7.096910013008056,O=CN(O)CCCP(=O)([O-])O,-6.01959991,0.888298869,5.53664017,29.5,99.5,129.0
50422666,5.698970004336019,O=C(c1ccccc1)N(O)CCCP(=O)(O)O,-7.73096371,0.960223675,6.18571138,116.5,13.5,130.0
50153713,6.292429823902063,O=CN(O)CCCP(=O)(O)O,-5.99324322,0.935750902,5.90447474,83.0,47.5,130.5
50528602,7.886056647693163,O=C(CSC(c1cc(F)cc(F)c1)P(=O)(O)O)NO,-8.12309837,0.70604986,5.20885801,3.0,127.5,130.5
50459311,6.0,CC(=O)N(O)CCCP(=O)([O-])O,-6.61419678,0.95931077,5.96633387,95.5,35.5,131.0
50380000,6.798602875679548,CN(O)C(=O)CCCP(=O)(O)O,-6.53506374,0.895647228,5.61697769,45.0,87.5,132.5
50459310,6.3872161432802645,O=CN(O)CC=CP(=O)([O-])O,-6.49915314,0.947422326,5.90215921,76.5,56.5,133.0
50437805,5.443697499232712,NC(=O)c1cncc(C(=O)N(O)CCCP(=O)(O)O)c1,-8.32318497,0.953272223,6.42834902,132.5,5.0,137.5
50181153,5.621602099051862,CC(=O)N(O)CCCP(=O)(O)O,-6.75422525,0.971103966,6.17627144,121.0,20.0,141.0
50528593,6.958607314841775,CN(O)C(=O)CSC(c1cc(F)cc(F)c1)P(=O)(O)O,-6.48624229,0.867114186,5.51041937,37.5,105.5,143.0
50422645,5.619969752032169,O=C(c1ccc(-c2ccccc2)cc1)N(O)CCCP(=O)(O)O,-9.00595379,0.913829386,6.17024231,122.0,25.0,147.0
50437797,6.494850021680094,O=C(c1ccccc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-7.86714792,0.744974375,5.670578,69.5,80.0,149.5
50335483,6.507239610973162,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,-6.66747522,0.778704882,5.63327551,65.5,84.0,149.5
50528598,7.657577319177793,CSc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,-6.32846594,0.565711856,5.12651491,6.0,144.5,150.5
50185362,5.522878745280337,CCC(=O)N(O)CC1CC1P(=O)(O)O,-6.93694258,0.963488162,6.10234118,124.0,27.0,151.0
50422646,5.630042392653947,CC(=O)N(O)C1CCC(P(=O)(O)O)C1,-6.51834631,0.919789016,5.99568892,120.0,32.0,152.0
50422670,5.289967300934246,O=C(NCC(=O)N(O)CCCP(=O)(O)O)c1ccc(OC(F)(F)F)cc1,-9.66008091,0.711132944,6.34986115,146.0,6.0,152.0
50441195,6.552841968657781,CN(O)C(=O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-8.10534954,0.705112875,5.59557724,60.5,92.0,152.5
50028309,6.657577319177793,O=CN(O)CCCP(=O)([O-])O,-6.01959991,0.888298869,5.53664017,54.5,99.5,154.0
50028309,6.657577319177793,O=CN(O)CCCP(=O)([O-])O,-6.01959991,0.888298869,5.53664017,54.5,99.5,154.0
50028309,6.638272163982407,O=CN(O)CCCP(=O)([O-])O,-6.01959991,0.888298869,5.53664017,57.5,99.5,157.0
50422642,5.15002808767115,O=C(NCC(=O)N(O)CCCP(=O)(O)O)C1CC1,-7.78965139,0.915423453,6.46511126,154.0,4.0,158.0
50422677,6.189767482004916,CC(=O)N(O)CC(C)CP(=O)(O)O,-6.47193432,0.89951396,5.72102308,85.0,75.0,160.0
50335485,6.924453038607469,CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-4.78573942,0.553754091,5.26577425,39.5,122.0,161.5
50445564,5.97061622231479,CC(=O)N(O)CC=CP(=O)([O-])O,-6.27084875,0.952774644,5.83366251,97.0,65.0,162.0
50380000,6.3872161432802645,CN(O)C(=O)CCCP(=O)(O)O,-6.53506374,0.895647228,5.61697769,76.5,87.5,164.0
59100,5.3872161432802645,Cc1ccc(Oc2ccc(NC(=O)CN3C(=O)C(=Cc4ccc(O)c(O)c4)SC3=S)cc2)cc1,-1.0443331,0.698114097,6.10957575,138.0,26.0,164.0
50335484,7.00436480540245,CC(=O)N(O)CCC(c1ccc(Cl)cc1)P(=O)(O)O,-5.22712183,0.487622976,5.19586039,33.5,131.0,164.5
50028362,7.154901959985743,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,-5.62273264,0.674583912,5.15345907,26.0,139.5,165.5
50437792,5.920818753952375,O=C(c1ccc(Cn2cncn2)cc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-7.13841486,0.327128291,5.79187822,99.0,67.0,166.0
50422676,4.959991363986458,CC(C)(C)C(=O)N(O)CCCP(=O)(O)O,-6.87064266,0.965613961,6.48370934,164.0,3.0,167.0
50081649,6.074172425375258,CN(O)C(=O)CC(CCCc1ccccc1)CP(=O)([O-])O,-7.39347696,0.873302519,5.72447252,94.0,73.5,167.5
50181150,6.806875401645538,COc1ccc(C(CCN(O)C=O)P(=O)(O)O)cc1,-6.74350405,0.620449364,5.22900295,44.0,125.0,169.0
50379999,5.8297382846050425,O=C(CCCP(=O)(O)O)NO,-6.77251291,0.925255299,5.77150106,101.0,69.0,170.0
50441205,6.142667503568731,O=C(CSC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O)NO,-7.82269907,0.814737976,5.65378332,90.0,82.0,172.0
50422664,5.010016541698601,NC(CCP(=O)(O)O)C(=O)NO,-6.83341932,0.863599539,6.23078203,161.0,12.0,173.0
50422674,6.149966742310231,CCC(CCN(O)C(C)=O)P(=O)(O)O,-6.08309031,0.876739025,5.6309247,89.0,85.0,174.0
50437803,6.080921907623926,Cc1ccccc1C(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-6.03090906,0.354972929,5.64867592,92.0,83.0,175.0
50528598,7.0,CSc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,-6.32846594,0.565711856,5.12651491,35.5,144.5,180.0
701274,5.772113295386326,CC(=O)N(O)CC=CP(=O)([O-])O,-6.54995728,0.948311269,5.71050501,106.0,76.5,182.5
50181149,6.402304814074488,CC(=O)N(O)CCC(c1ccc(C)cc1)P(=O)(O)O,-7.73119164,0.725754321,5.42436266,74.5,109.0,183.5
50422652,4.770011163455189,O=C(CCCc1c[nH]c2ccccc12)NCC(=O)N(O)CCCP(=O)(O)O,-9.56437778,0.650469244,6.6184659,184.0,1.0,185.0
50380000,5.939302159646388,CN(O)C(=O)CCCP(=O)(O)O,-6.53506374,0.895647228,5.61697769,98.0,87.5,185.5
50422647,4.850011543508524,O=C(N(O)CCCP(=O)(O)O)C(F)(F)F,-7.47696257,0.974471211,6.18272257,172.5,15.0,187.5
50441208,6.958607314841775,Cc1ccc(C(SCC(=O)N(C)O)P(=O)(O)O)cc1,-7.62762833,0.65331018,5.07410574,37.5,153.0,190.5
50441209,6.259637310505756,CN(O)C(=O)CSC(c1cccc2ccccc12)P(=O)(O)O,-8.13074684,0.670466661,5.40672255,84.0,112.0,196.0
50528602,6.494850021680094,O=C(CSC(c1cc(F)cc(F)c1)P(=O)(O)O)NO,-8.12309837,0.70604986,5.20885801,69.5,127.5,197.0
50441206,5.769551078621726,O=C(CSC(c1ccc(F)c(F)c1)P(=O)(O)O)NO,-6.65922022,0.724354386,5.61240625,108.0,90.0,198.0
50441202,5.795880017344075,CN(O)C(=O)COC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-6.41331005,0.795112908,5.58292198,104.5,94.0,198.5
50437802,5.045757490560675,O=C(c1ccccc1C(F)(F)F)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-6.13289499,0.404776633,5.91665983,160.0,39.0,199.0
50028363,6.853871964321762,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,-4.05196762,0.597552538,4.9903388,42.5,158.5,201.0
50422672,4.850011543508524,COc1ccc(CC(=O)NCC(=O)N(O)CCCP(=O)(O)O)cc1OC,-2.57230783,0.856036067,6.05903244,172.5,29.0,201.5
50528597,6.795880017344075,COc1cc(OC)cc(C(SCC(=O)N(C)O)P(=O)(O)O)c1,-6.95005131,0.670150101,5.00162935,47.5,156.5,204.0
701274,5.480172006224281,CC(=O)N(O)CC=CP(=O)([O-])O,-6.54995728,0.948311269,5.71050501,128.0,76.5,204.5
50441196,6.113509274827518,CN(O)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(O)O,-8.06589317,0.634819686,5.29127693,91.0,118.0,209.0
50441197,5.698970004336019,CN(O)C(=O)CCC(c1ccccc1)P(=O)(O)O,-7.03192329,0.885443091,5.58479691,116.5,93.0,209.5
50422665,4.799998134593398,NCCC(=O)N(O)CCCP(=O)(O)O,-6.76714373,0.911132872,5.99961424,179.5,31.0,210.5
50441189,6.920818753952375,CN(O)C(=O)CSC(c1ccccc1)P(=O)(O)O,-6.59351301,0.613111854,4.85285425,41.0,170.5,211.5
50115109,5.154901959985743,O=P(O)(O)C(Nc1ccc(Cl)cn1)P(=O)(O)O,-8.4251833,0.834436119,5.87097597,152.5,60.0,212.5
50437801,5.154901959985743,O=C(c1ccccc1Cc1cccs1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-7.38120794,0.335371852,5.86358118,152.5,61.0,213.5
50028373,6.346787486224656,COc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1,-4.45346308,0.469418526,5.16542101,80.0,135.5,215.5
50335482,6.402304814074488,CC(=O)N(O)CCC(c1ccc(C)cc1)P(=O)(O)O,-7.94274092,0.688973784,5.13995409,74.5,143.0,217.5
50028380,5.366531544420414,CN(O)C(=O)CCCC(c1ccccc1)P(=O)(O)O,-6.06830168,0.76908344,5.69992971,139.5,79.0,218.5
50081647,5.146910470148135,CC(CC(=O)N(C)O)CP(=O)(O)O,-6.45819998,0.898147583,5.86016083,156.0,62.5,218.5
50028371,5.823908740944319,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1OC,-7.08077288,0.579887152,5.30903625,102.5,116.0,218.5
50181147,6.549750891680639,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,-4.95849991,0.575113654,4.97929621,62.0,160.5,222.5
50528600,4.958607314841775,CN(O)C(=O)CS(=O)(=O)C(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,-7.19797421,0.904524863,5.88644171,166.0,58.0,224.0
50181147,6.507239610973162,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,-4.95849991,0.575113654,4.97929621,65.5,160.5,226.0
50441193,6.537602002101044,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,-5.40025711,0.65367806,4.93368912,63.5,164.0,227.5
50081650,5.175874166083451,CN(O)C(=O)CC(CCCCc1ccccc1)CP(=O)([O-])O,-7.54350138,0.679763734,5.70278978,151.0,78.0,229.0
50441189,6.552841968657781,CN(O)C(=O)CSC(c1ccccc1)P(=O)(O)O,-6.59351301,0.613111854,4.85285425,60.5,170.5,231.0
50335486,5.853871964321762,O=c1ccc(-c2ccccc2)cn1O,-6.40209675,0.780156672,5.18356657,100.0,132.0,232.0
50335481,6.338187314462739,COc1ccc(C(CCN(O)C(C)=O)P(=O)(O)O)cc1,-6.6637888,0.761209011,5.08454275,81.5,152.0,233.5
50009001,5.657577319177793,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,-1.93197262,0.830400288,5.33246231,119.0,115.0,234.0
50028310,6.154901959985743,Cc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,-7.62184238,0.418905139,5.11546183,88.0,146.5,234.5
50335493,6.075720713938118,O=P(O)(O)Cc1ccc(-c2ccccc2)cn1,-7.03827763,0.808231711,5.14071083,93.0,142.0,235.0
50181151,6.338187314462739,COc1ccc(C(CCN(O)C(C)=O)P(=O)(O)O)cc1,-7.14224386,0.576152563,5.01519823,81.5,155.0,236.5
50081649,4.985059650207063,CN(O)C(=O)CC(CCCc1ccccc1)CP(=O)([O-])O,-7.39347696,0.873302519,5.72447252,163.0,73.5,236.5
50528603,6.167491087293763,COc1cc(OC)cc(C(SCC(=O)NO)P(=O)(O)O)c1,-6.64771366,0.770846248,5.08717489,87.0,151.0,238.0
50422671,5.090016305060156,CCCC(CCN(O)C=O)P(=O)(O)O,-6.35850477,0.851078868,5.66426277,158.0,81.0,239.0
50044971,5.443697499232712,Cc1ccc(Oc2ccc(NC(=O)CN3C(=O)C(=Cc4cccc(O)c4O)SC3=S)cc2)cc1,1.03632545,0.312637568,5.47385836,132.5,108.0,240.5
50441191,5.468521082957745,O=C(CCC(c1ccc(F)c(F)c1)P(=O)(O)O)NO,-6.02385569,0.504702389,5.40909624,129.5,111.0,240.5
50422653,5.739928612014925,O=C(CN(Cc1ccccc1)CP(=O)(O)O)NO,-4.91631842,0.763505459,5.20124912,112.5,129.0,241.5
50528590,6.537602002101044,Cc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,4.16675329,0.692577124,4.45576239,63.5,178.5,242.0
50422663,5.7500682433658055,CCC(CCN(O)C=O)P(=O)(O)O,-5.17135286,0.750931442,5.16434622,109.0,137.0,246.0
50528595,5.366531544420414,CN(O)C(=O)CS(=O)(=O)C(c1cc(F)cc(F)c1)P(=O)(O)O,-8.11515045,0.849657536,5.49182081,139.5,107.0,246.5
50422661,4.790002703917631,O=C(CNCP(=O)(O)O)NO,-6.96640682,0.924329817,5.80138206,183.0,66.0,249.0
50028364,6.494850021680094,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1OC,-6.71663475,0.467175424,4.31600332,69.5,181.0,250.5
50028362,5.698970004336019,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,-5.62273264,0.674583912,5.15345907,116.5,139.5,256.0
50028373,5.552841968657781,COc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1,-4.45346308,0.469418526,5.16542101,123.0,135.5,258.5
50441203,5.337242168318426,CN(O)C(=O)COC(c1ccc(F)c(F)c1)P(=O)(O)O,-7.48099613,0.756614983,5.34075975,144.5,114.0,258.5
50441200,5.3979400086720375,Cc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1,-6.55995989,0.774255097,5.24869013,136.0,124.0,260.0
50422643,5.179995693191682,CCCC(CCN(O)C(C)=O)P(=O)(O)O,-6.25900602,0.825121999,5.37196732,149.5,113.0,262.5
15236,5.823908740944319,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,-6.36916542,0.433827549,4.97406483,102.5,162.0,264.5
7460,5.721246399047171,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-5.64236355,0.623380899,5.05963278,114.0,154.0,268.0
7457,5.455931955649724,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,-5.04423475,0.684633315,5.14250135,131.0,141.0,272.0
50441193,5.7447274948966935,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,-5.40025711,0.65367806,4.93368912,110.5,164.0,274.5
50441193,5.7447274948966935,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,-5.40025711,0.65367806,4.93368912,110.5,164.0,274.5
50028381,4.958607314841775,CN(O)C(=O)CCC(NC(=O)c1ccccc1)P(=O)(O)O,-7.12299824,0.462644935,5.42170286,166.0,110.0,276.0
50528601,5.346787486224656,COc1cc(OC)cc(C(P(=O)(O)O)S(=O)(=O)CC(=O)NO)c1,-7.09704447,0.746122599,5.17784929,143.0,133.0,276.0
