ID,SMILES,IC50_nM,pIC50,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,QED,Vina_Score,CNN_Score,CNN_Affinity
50153713,O=CN(O)CCCP(=O)(O)O,80.0,7.096910013008056,183.1,-0.5982000000000002,3,3,98.07,0.2286476674739753,-5.99324322,0.935750902,5.90447474
50153713,O=CN(O)CCCP(=O)(O)O,80.0,7.096910013008056,183.1,-0.5982000000000002,3,3,98.07,0.2286476674739753,-5.99324322,0.935750902,5.90447474
50028309,O=CN(O)CCCP(=O)([O-])O,80.0,7.096910013008056,182.092,-1.2302000000000002,2,4,100.9,0.2397173417414644,-6.01959991,0.888298869,5.53664017
50181152,CC(=O)N(O)CCC(c1ccc(Cl)cc1)P(=O)(O)O,99.0,7.00436480540245,307.6700000000001,2.186600000000001,3,3,98.07,0.4398545658852655,-7.66447163,0.814037085,5.56922531
50335484,CC(=O)N(O)CCC(c1ccc(Cl)cc1)P(=O)(O)O,99.0,7.00436480540245,307.6700000000001,2.186600000000001,3,3,98.07,0.4398545658852655,-5.22712183,0.487622976,5.19586039
50422666,O=C(c1ccccc1)N(O)CCCP(=O)(O)O,100.0,7.0,259.1979999999999,1.0858,3,3,98.07,0.4173842734650188,-7.73096371,0.960223675,6.18571138
50528598,CSc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,100.0,7.0,323.33200000000005,1.8233999999999997,4,5,106.86,0.2736946336108467,-6.32846594,0.565711856,5.12651491
50441208,Cc1ccc(C(SCC(=O)N(C)O)P(=O)(O)O)cc1,110.0,6.958607314841775,305.2920000000001,1.75212,3,4,98.07,0.4354061564214853,-7.62762833,0.65331018,5.07410574
50528593,CN(O)C(=O)CSC(c1cc(F)cc(F)c1)P(=O)(O)O,110.0,6.958607314841775,327.24500000000006,1.7219,3,4,98.07,0.4327043552239132,-6.48624229,0.867114186,5.51041937
50181148,CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,119.0,6.924453038607469,342.115,2.8400000000000025,3,3,98.07,0.4342324837357437,-6.67552662,0.78308326,5.88492632
50335485,CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,119.0,6.924453038607469,342.115,2.8400000000000025,3,3,98.07,0.4342324837357437,-4.78573942,0.553754091,5.26577425
50441189,CN(O)C(=O)CSC(c1ccccc1)P(=O)(O)O,120.0,6.920818753952375,291.26500000000004,1.4436999999999998,3,4,98.07,0.4312579543821756,-6.59351301,0.613111854,4.85285425
50437793,O=C(c1cccc(Cn2cncn2)c1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,140.0,6.853871964321762,485.26400000000007,3.773700000000004,3,6,128.78,0.2517407386239746,-7.80663681,0.30348897,6.01805496
50028363,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,140.0,6.853871964321762,289.224,1.1995999999999996,4,4,116.09,0.3550644034384876,-4.05196762,0.597552538,4.9903388
50181150,COc1ccc(C(CCN(O)C=O)P(=O)(O)O)cc1,156.0,6.806875401645538,289.224,1.1516999999999995,3,4,107.3,0.3006847530224387,-6.74350405,0.620449364,5.22900295
50380000,CN(O)C(=O)CCCP(=O)(O)O,159.0,6.798602875679548,197.127,-0.2081,3,3,98.07,0.328855787955969,-6.53506374,0.895647228,5.61697769
50185359,CC(=O)N(O)CC1CC1P(=O)(O)O,160.0,6.795880017344075,209.138,-0.2096999999999999,3,3,98.07,0.3391362884167475,-6.77488041,0.941998541,5.99309397
50181153,CC(=O)N(O)CCCP(=O)(O)O,160.0,6.795880017344075,197.127,-0.2080999999999998,3,3,98.07,0.328855787955969,-6.75422525,0.971103966,6.17627144
50528597,COc1cc(OC)cc(C(SCC(=O)N(C)O)P(=O)(O)O)c1,160.0,6.795880017344075,351.31700000000006,1.4609,3,6,116.53,0.3840101094387677,-6.95005131,0.670150101,5.00162935
50181153,CC(=O)N(O)CCCP(=O)(O)O,160.0,6.795880017344075,197.127,-0.2080999999999998,3,3,98.07,0.328855787955969,-6.75422525,0.971103966,6.17627144
50379999,O=C(CCCP(=O)(O)O)NO,170.0,6.769551078621726,183.1,-0.5503000000000006,4,3,106.86,0.2655224493430108,-6.77251291,0.925255299,5.77150106
50459310,O=CN(O)CC=CP(=O)([O-])O,170.0,6.769551078621726,180.076,-1.1066,2,4,100.9,0.2470966896903046,-6.49915314,0.947422326,5.90215921
50422656,O=C(C(Cl)Cl)N(O)CCCP(=O)(O)O,178.0,6.749579997691106,266.01699999999994,0.5756999999999999,3,3,98.07,0.2923515117550138,-6.74873543,0.974672735,6.24481821
50081647,CC(CC(=O)N(C)O)CP(=O)(O)O,205.0,6.688246138944246,211.154,0.0378999999999999,3,3,98.07,0.3461435855162525,-6.45819998,0.898147583,5.86016083
50028309,O=CN(O)CCCP(=O)([O-])O,220.0,6.657577319177793,182.092,-1.2302000000000002,2,4,100.9,0.2397173417414644,-6.01959991,0.888298869,5.53664017
50028309,O=CN(O)CCCP(=O)([O-])O,220.0,6.657577319177793,182.092,-1.2302000000000002,2,4,100.9,0.2397173417414644,-6.01959991,0.888298869,5.53664017
50422651,O=C(c1cccc2ccccc12)N(O)CCCP(=O)(O)O,229.0,6.640164517660112,309.258,2.2390000000000017,3,3,98.07,0.4468315064501554,-7.17233467,0.865291059,5.74808311
50153713,O=CN(O)CCCP(=O)(O)O,230.0,6.638272163982407,183.1,-0.5982000000000002,3,3,98.07,0.2286476674739753,-5.99324322,0.935750902,5.90447474
50028309,O=CN(O)CCCP(=O)([O-])O,230.0,6.638272163982407,182.092,-1.2302000000000002,2,4,100.9,0.2397173417414644,-6.01959991,0.888298869,5.53664017
50379999,O=C(CCCP(=O)(O)O)NO,257.0,6.590066876668706,183.1,-0.5503000000000006,4,3,106.86,0.2655224493430108,-6.77251291,0.925255299,5.77150106
50441195,CN(O)C(=O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,280.0,6.552841968657781,342.11500000000007,2.8400000000000025,3,3,98.07,0.4342324837357436,-8.10534954,0.705112875,5.59557724
50441189,CN(O)C(=O)CSC(c1ccccc1)P(=O)(O)O,280.0,6.552841968657781,291.26500000000004,1.4436999999999998,3,4,98.07,0.4312579543821756,-6.59351301,0.613111854,4.85285425
50181147,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,282.0,6.549750891680639,273.225,1.5332,3,3,98.07,0.4291274758078082,-4.95849991,0.575113654,4.97929621
50441193,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,290.0,6.537602002101044,287.252,1.84162,3,3,98.07,0.4358705518948625,-5.40025711,0.65367806,4.93368912
50528590,Cc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,290.0,6.537602002101044,291.26500000000004,1.4099199999999996,4,4,106.86,0.37107725269409,4.16675329,0.692577124,4.45576239
50181147,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,311.0,6.507239610973162,273.225,1.5332,3,3,98.07,0.4291274758078082,-4.95849991,0.575113654,4.97929621
50335483,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,311.0,6.507239610973162,273.225,1.5332,3,3,98.07,0.4291274758078082,-6.66747522,0.778704882,5.63327551
50185363,O=CN(O)CC1CC1P(=O)(O)O,313.0,6.504455662453552,195.111,-0.5998000000000002,3,3,98.07,0.2406159285703591,-5.70469046,0.938491106,5.97313118
50437797,O=C(c1ccccc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,320.0,6.494850021680094,404.1860000000001,4.133900000000004,3,3,98.07,0.3821433839123665,-7.86714792,0.744974375,5.670578
50028364,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1OC,320.0,6.494850021680094,333.27700000000004,1.5503999999999998,3,5,116.53,0.3936106526282195,-6.71663475,0.467175424,4.31600332
50181153,CC(=O)N(O)CCCP(=O)(O)O,320.0,6.494850021680094,197.127,-0.2080999999999998,3,3,98.07,0.328855787955969,-6.75422525,0.971103966,6.17627144
50528602,O=C(CSC(c1cc(F)cc(F)c1)P(=O)(O)O)NO,320.0,6.494850021680094,313.218,1.3796999999999997,4,4,106.86,0.3715921176185726,-8.12309837,0.70604986,5.20885801
701271,O=CN(O)CCCP(=O)([O-])O,340.0,6.468521082957745,182.092,-1.2302000000000002,2,4,100.9,0.2397173417414644,-6.36918497,0.943077743,5.94363785
50459311,CC(=O)N(O)CCCP(=O)([O-])O,360.0,6.443697499232712,196.119,-0.8400999999999998,2,4,100.9,0.3465343313932355,-6.61419678,0.95931077,5.96633387
50181149,CC(=O)N(O)CCC(c1ccc(C)cc1)P(=O)(O)O,396.0,6.402304814074488,287.252,1.8416200000000007,3,3,98.07,0.4358705518948625,-7.73119164,0.725754321,5.42436266
50335482,CC(=O)N(O)CCC(c1ccc(C)cc1)P(=O)(O)O,396.0,6.402304814074488,287.252,1.8416200000000007,3,3,98.07,0.4358705518948625,-7.94274092,0.688973784,5.13995409
50380000,CN(O)C(=O)CCCP(=O)(O)O,410.0,6.3872161432802645,197.127,-0.2081,3,3,98.07,0.328855787955969,-6.53506374,0.895647228,5.61697769
50459310,O=CN(O)CC=CP(=O)([O-])O,410.0,6.3872161432802645,180.076,-1.1066,2,4,100.9,0.2470966896903046,-6.49915314,0.947422326,5.90215921
50153713,O=CN(O)CCCP(=O)(O)O,438.0,6.3585258894959,183.1,-0.5982000000000002,3,3,98.07,0.2286476674739753,-5.99324322,0.935750902,5.90447474
50153713,O=CN(O)CCCP(=O)(O)O,440.0,6.356547323513812,183.1,-0.5982000000000002,3,3,98.07,0.2286476674739753,-5.99324322,0.935750902,5.90447474
50028373,COc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1,450.0,6.346787486224656,305.223,0.7357,3,5,116.53,0.4028650898227761,-4.45346308,0.469418526,5.16542101
50181151,COc1ccc(C(CCN(O)C(C)=O)P(=O)(O)O)cc1,459.0,6.338187314462739,303.25100000000003,1.5418000000000005,3,4,107.3,0.4178674407926679,-7.14224386,0.576152563,5.01519823
50335481,COc1ccc(C(CCN(O)C(C)=O)P(=O)(O)O)cc1,459.0,6.338187314462739,303.25100000000003,1.5418000000000005,3,4,107.3,0.4178674407926679,-6.6637888,0.761209011,5.08454275
50153713,O=CN(O)CCCP(=O)(O)O,510.0,6.292429823902063,183.1,-0.5982000000000002,3,3,98.07,0.2286476674739753,-5.99324322,0.935750902,5.90447474
50441209,CN(O)C(=O)CSC(c1cccc2ccccc12)P(=O)(O)O,550.0,6.259637310505756,341.3250000000001,2.596900000000001,3,4,98.07,0.4392488838055567,-8.13074684,0.670466661,5.40672255
50422677,CC(=O)N(O)CC(C)CP(=O)(O)O,646.0,6.189767482004916,211.154,0.0379000000000001,3,3,98.07,0.3461435855162525,-6.47193432,0.89951396,5.72102308
701271,O=CN(O)CCCP(=O)([O-])O,670.0,6.173925197299173,182.092,-1.2302000000000002,2,4,100.9,0.2397173417414644,-6.36918497,0.943077743,5.94363785
50528603,COc1cc(OC)cc(C(SCC(=O)NO)P(=O)(O)O)c1,680.0,6.167491087293763,337.29,1.1186999999999996,4,6,125.32000000000002,0.3312683421639819,-6.64771366,0.770846248,5.08717489
50028310,Cc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,700.0,6.154901959985743,273.225,1.4994199999999993,4,3,106.86,0.3692732605760256,-7.62184238,0.418905139,5.11546183
50422674,CCC(CCN(O)C(C)=O)P(=O)(O)O,708.0,6.149966742310231,225.181,0.5705000000000002,3,3,98.07,0.3607180856743459,-6.08309031,0.876739025,5.6309247
50441205,O=C(CSC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O)NO,720.0,6.142667503568731,346.12800000000004,2.408300000000001,4,4,106.86,0.3705920707533345,-7.82269907,0.814737976,5.65378332
50441196,CN(O)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(O)O,770.0,6.113509274827518,309.20500000000004,1.8114,3,3,98.07,0.4376184157078562,-8.06589317,0.634819686,5.29127693
50437803,Cc1ccccc1C(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,830.0,6.080921907623926,418.213,4.442320000000004,3,3,98.07,0.3661230840584333,-6.03090906,0.354972929,5.64867592
50335493,O=P(O)(O)Cc1ccc(-c2ccccc2)cn1,840.0,6.075720713938118,249.20600000000005,2.4263000000000003,2,2,70.42,0.8193784969544962,-7.03827763,0.808231711,5.14071083
50081649,CN(O)C(=O)CC(CCCc1ccccc1)CP(=O)([O-])O,843.0,6.074172425375258,314.29800000000006,1.4088999999999998,2,4,100.9,0.429054101046435,-7.39347696,0.873302519,5.72447252
50422649,O=C(CCCOc1ccccc1)NCC(=O)N(O)CCCP(=O)(O)O,1000.0,6.0,374.33000000000015,0.7473999999999996,4,5,136.4,0.1941070887193801,-8.11305332,0.723943412,6.26774073
50459311,CC(=O)N(O)CCCP(=O)([O-])O,1000.0,6.0,196.119,-0.8400999999999998,2,4,100.9,0.3465343313932355,-6.61419678,0.95931077,5.96633387
50445564,CC(=O)N(O)CC=CP(=O)([O-])O,1070.0,5.97061622231479,194.103,-0.7165000000000001,2,4,100.9,0.3505643468516439,-6.27084875,0.952774644,5.83366251
50380000,CN(O)C(=O)CCCP(=O)(O)O,1150.0,5.939302159646388,197.127,-0.2081,3,3,98.07,0.328855787955969,-6.53506374,0.895647228,5.61697769
50437792,O=C(c1ccc(Cn2cncn2)cc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,1200.0,5.920818753952375,485.2640000000002,3.773700000000004,3,6,128.78,0.2517407386239746,-7.13841486,0.327128291,5.79187822
50335486,O=c1ccc(-c2ccccc2)cn1O,1400.0,5.853871964321762,187.198,1.7526,1,3,42.23,0.6909183771263686,-6.40209675,0.780156672,5.18356657
50379999,O=C(CCCP(=O)(O)O)NO,1480.0,5.8297382846050425,183.1,-0.5503000000000006,4,3,106.86,0.2655224493430108,-6.77251291,0.925255299,5.77150106
15236,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1500.0,5.823908740944319,318.237,1.6936000000000009,6,8,151.59,0.3707504645634647,-6.36916542,0.433827549,4.97406483
50028371,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1OC,1500.0,5.823908740944319,319.25,1.2081999999999993,4,5,125.32000000000002,0.3379474311932277,-7.08077288,0.579887152,5.30903625
50437806,O=C(c1cccnc1)N(O)CCCP(=O)(O)O,1600.0,5.795880017344075,260.1859999999999,0.4807999999999999,3,4,110.96,0.4031585698947402,-7.81655073,0.966178,6.25206375
50441202,CN(O)C(=O)COC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,1600.0,5.795880017344075,344.08700000000005,2.0339,3,4,107.3,0.428648323401495,-6.41331005,0.795112908,5.58292198
701274,CC(=O)N(O)CC=CP(=O)([O-])O,1690.0,5.772113295386326,194.103,-0.7165000000000001,2,4,100.9,0.3505643468516439,-6.54995728,0.948311269,5.71050501
