ID,pIC50_Real,pIC50_GNN
50028309,8.09691047668457,7.1723713874816895
50441210,8.036211967468262,7.268367290496826
50528602,7.886056423187256,6.51096248626709
50528593,7.744727611541748,6.754084587097168
50153713,7.698969841003418,7.1723713874816895
50528598,7.6575775146484375,7.124096393585205
50181153,7.552842140197754,6.7175984382629395
50181153,7.522878646850586,6.7175984382629395
50153713,7.522878646850586,7.1723713874816895
50153713,7.522878646850586,7.1723713874816895
50181153,7.522878646850586,6.7175984382629395
50181153,7.522878646850586,6.717597961425781
50153713,7.494850158691406,7.1723713874816895
50153713,7.494850158691406,7.1723713874816895
50153713,7.376750946044922,7.1723713874816895
50441211,7.376750946044922,6.852016448974609
50153713,7.318758964538574,7.1723713874816895
50380000,7.318758964538574,6.629946231842041
50028309,7.3098039627075195,7.1723713874816895
50185361,7.301030158996582,6.237459659576416
50422669,7.267606258392334,6.183503150939941
50181153,7.236571788787842,6.7175984382629395
50181154,7.229147911071777,6.887157917022705
50181154,7.229147911071777,6.887157917022705
50422650,7.187086582183838,6.365356922149658
50028362,7.15490198135376,6.027262210845947
50153713,7.096909999847412,7.1723713874816895
50153713,7.096909999847412,7.1723713874816895
50153713,7.096909999847412,7.1723713874816895
50153713,7.096909999847412,7.1723713874816895
50153713,7.096909999847412,7.1723713874816895
50028309,7.096909999847412,7.1723713874816895
50181152,7.004364967346191,6.392696380615234
50335484,7.004364967346191,6.392696857452393
50422666,7.0,5.956391334533691
50528598,7.0,7.124096393585205
50441208,6.958607196807861,6.8733229637146
50528593,6.958607196807861,6.754084587097168
50181148,6.924453258514404,6.632749080657959
50335485,6.924453258514404,6.632749080657959
50441189,6.92081880569458,6.537850856781006
50437793,6.853871822357178,5.720516204833984
50028363,6.853871822357178,5.735694885253906
50181150,6.806875228881836,6.3257951736450195
50380000,6.798603057861328,6.629946231842041
50185359,6.79587984085083,6.237459659576416
50181153,6.79587984085083,6.717597961425781
50528597,6.79587984085083,6.565548896789551
50181153,6.79587984085083,6.7175984382629395
50379999,6.7695512771606445,6.182408332824707
50459310,6.7695512771606445,6.787100315093994
50422656,6.749579906463623,7.13407564163208
50081647,6.688246250152588,6.082749366760254
50028309,6.6575775146484375,7.1723713874816895
50028309,6.6575775146484375,7.1723713874816895
50422651,6.640164375305176,5.834384441375732
50153713,6.638272285461426,7.1723713874816895
50028309,6.638272285461426,7.1723713874816895
50379999,6.590066909790039,6.182408332824707
50441195,6.552842140197754,6.560556888580322
50441189,6.552842140197754,6.537850856781006
50181147,6.549750804901123,5.831608772277832
50441193,6.537601947784424,6.12825870513916
50528590,6.537601947784424,6.623318195343018
50181147,6.507239818572998,5.831608772277832
