ID,Real_pIC50,Pred_2D
50185361,7.30103,6.022941
50028363,6.853872,4.777355
50437796,5.09691,5.537582
50422641,5.7399287,5.6979804
50422643,5.1799955,5.662399
50441211,7.376751,6.837716
50422650,7.1870866,5.6077304
50028364,6.49485,6.195378
50441197,5.69897,5.915611
50437792,5.920819,6.336494
50380000,5.939302,6.8108916
50081649,4.9850597,5.774758
50181153,6.49485,6.6149707
50441201,4.823909,5.156163
50185359,6.79588,6.022941
50153713,7.318759,6.794986
50422656,6.74958,6.1962647
50528598,7.0,7.415466
50153713,6.29243,6.794986
50153713,6.6382723,6.794986
50028381,4.958607,6.188746
50044976,5.5086384,5.0787563
50044975,5.21467,5.174972
50153713,7.09691,6.794986
50153713,7.5228786,6.794986
50044973,5.481486,5.4754853
50441189,6.552842,6.9391556
50028309,7.309804,6.38129
50441194,4.8860564,5.7929964
7460,5.7212462,5.829031
50380000,6.387216,6.8108916
50422651,6.6401644,5.7885275
50422646,5.6300426,5.0630994
50135835,5.39794,5.2638965
50185363,6.5044556,5.8425694
50153713,7.09691,6.794986
50441207,4.823909,5.9887724
