ID,SMILES,IC50_nM,pIC50,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,QED
50028309,O=CN(O)CCCP(=O)([O-])O,8.0,8.096910013008056,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50441210,CN(O)C(=O)CSC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,9.2,8.036212172654444,360.1550000000001,2.7505000000000015,3,4,98.07000000000001,0.42440935680045944
50528602,O=C(CSC(c1cc(F)cc(F)c1)P(=O)(O)O)NO,13.0,7.886056647693163,313.218,1.3796999999999997,4,4,106.86000000000001,0.37159211761857264
50528593,CN(O)C(=O)CSC(c1cc(F)cc(F)c1)P(=O)(O)O,18.0,7.7447274948966935,327.24500000000006,1.7219,3,4,98.07000000000001,0.43270435522391326
50153713,O=CN(O)CCCP(=O)(O)O,20.0,7.698970004336019,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50528598,CSc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,22.0,7.657577319177793,323.33200000000005,1.8233999999999995,4,5,106.86000000000001,0.2736946336108467
50181153,CC(=O)N(O)CCCP(=O)(O)O,28.0,7.552841968657781,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50181153,CC(=O)N(O)CCCP(=O)(O)O,30.0,7.522878745280337,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50153713,O=CN(O)CCCP(=O)(O)O,30.0,7.522878745280337,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,30.0,7.522878745280337,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50181153,CC(=O)N(O)CCCP(=O)(O)O,30.0,7.522878745280337,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50181153,CC(=O)N(O)CCCP(=O)(O)O,30.0,7.522878745280337,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50153713,O=CN(O)CCCP(=O)(O)O,32.0,7.494850021680094,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,32.0,7.494850021680094,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,42.0,7.376750709602099,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50441211,CN(O)C(=O)CSC(c1ccc(F)c(F)c1)P(=O)(O)O,42.0,7.376750709602099,327.24500000000006,1.7219,3,4,98.07000000000001,0.43270435522391326
50153713,O=CN(O)CCCP(=O)(O)O,48.0,7.318758762624412,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50380000,CN(O)C(=O)CCCP(=O)(O)O,48.0,7.318758762624412,197.127,-0.20810000000000006,3,3,98.07000000000001,0.328855787955969
50028309,O=CN(O)CCCP(=O)([O-])O,49.0,7.309803919971486,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50185361,CC(=O)N(O)CC1CC1P(=O)(O)O,50.0,7.301029995663981,209.138,-0.2096999999999999,3,3,98.07000000000001,0.3391362884167475
50422669,CC(=O)N(O)CCC(C)P(=O)(O)O,54.0,7.267606240177032,211.154,0.18040000000000023,3,3,98.07000000000001,0.34978346934467697
50181153,CC(=O)N(O)CCCP(=O)(O)O,58.0,7.236572006437063,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50181154,O=CN(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,59.0,7.229147988357855,328.088,2.449900000000002,3,3,98.07000000000001,0.322445367494492
50181154,O=CN(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,59.0,7.229147988357855,328.088,2.449900000000002,3,3,98.07000000000001,0.322445367494492
50422650,CC(=O)N(O)CC=CP(=O)(O)O,65.0,7.187086643357144,195.111,-0.08449999999999985,3,3,98.07000000000001,0.3319711825001085
50028362,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,70.0,7.154901959985743,303.25100000000003,1.5417999999999998,3,4,107.30000000000001,0.41786744079266797
50153713,O=CN(O)CCCP(=O)(O)O,80.0,7.096910013008056,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,80.0,7.096910013008056,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,80.0,7.096910013008056,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,80.0,7.096910013008056,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,80.0,7.096910013008056,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50028309,O=CN(O)CCCP(=O)([O-])O,80.0,7.096910013008056,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50181152,CC(=O)N(O)CCC(c1ccc(Cl)cc1)P(=O)(O)O,99.0,7.00436480540245,307.6700000000001,2.186600000000001,3,3,98.07000000000001,0.43985456588526556
50335484,CC(=O)N(O)CCC(c1ccc(Cl)cc1)P(=O)(O)O,99.0,7.00436480540245,307.6700000000001,2.186600000000001,3,3,98.07000000000001,0.43985456588526556
50422666,O=C(c1ccccc1)N(O)CCCP(=O)(O)O,100.0,7.0,259.1979999999999,1.0857999999999999,3,3,98.07000000000001,0.4173842734650188
50528598,CSc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,100.0,7.0,323.33200000000005,1.8233999999999995,4,5,106.86000000000001,0.2736946336108467
50441208,Cc1ccc(C(SCC(=O)N(C)O)P(=O)(O)O)cc1,110.0,6.958607314841775,305.2920000000001,1.75212,3,4,98.07000000000001,0.43540615642148534
50528593,CN(O)C(=O)CSC(c1cc(F)cc(F)c1)P(=O)(O)O,110.0,6.958607314841775,327.24500000000006,1.7219,3,4,98.07000000000001,0.43270435522391326
50181148,CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,119.0,6.924453038607469,342.115,2.8400000000000025,3,3,98.07000000000001,0.4342324837357437
50335485,CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,119.0,6.924453038607469,342.115,2.8400000000000025,3,3,98.07000000000001,0.4342324837357437
50441189,CN(O)C(=O)CSC(c1ccccc1)P(=O)(O)O,120.0,6.920818753952375,291.26500000000004,1.4436999999999998,3,4,98.07000000000001,0.4312579543821756
50437793,O=C(c1cccc(Cn2cncn2)c1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,140.0,6.853871964321762,485.26400000000007,3.773700000000004,3,6,128.78,0.25174073862397467
50028363,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,140.0,6.853871964321762,289.224,1.1995999999999996,4,4,116.09,0.35506440343848766
50181150,COc1ccc(C(CCN(O)C=O)P(=O)(O)O)cc1,156.0,6.806875401645538,289.224,1.1516999999999997,3,4,107.30000000000001,0.3006847530224387
50380000,CN(O)C(=O)CCCP(=O)(O)O,159.0,6.798602875679548,197.127,-0.20810000000000006,3,3,98.07000000000001,0.328855787955969
50185359,CC(=O)N(O)CC1CC1P(=O)(O)O,160.0,6.795880017344075,209.138,-0.2096999999999999,3,3,98.07000000000001,0.3391362884167475
50181153,CC(=O)N(O)CCCP(=O)(O)O,160.0,6.795880017344075,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50528597,COc1cc(OC)cc(C(SCC(=O)N(C)O)P(=O)(O)O)c1,160.0,6.795880017344075,351.31700000000006,1.4608999999999999,3,6,116.53,0.38401010943876773
50181153,CC(=O)N(O)CCCP(=O)(O)O,160.0,6.795880017344075,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50379999,O=C(CCCP(=O)(O)O)NO,170.0,6.769551078621726,183.10000000000002,-0.5503000000000006,4,3,106.86000000000001,0.26552244934301084
50459310,O=CN(O)CC=CP(=O)([O-])O,170.0,6.769551078621726,180.076,-1.1066,2,4,100.9,0.24709668969030466
50422656,O=C(C(Cl)Cl)N(O)CCCP(=O)(O)O,178.0,6.749579997691106,266.01699999999994,0.5756999999999999,3,3,98.07000000000001,0.2923515117550138
50081647,CC(CC(=O)N(C)O)CP(=O)(O)O,205.0,6.688246138944246,211.154,0.037899999999999934,3,3,98.07000000000001,0.34614358551625257
50028309,O=CN(O)CCCP(=O)([O-])O,220.0,6.657577319177793,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50028309,O=CN(O)CCCP(=O)([O-])O,220.0,6.657577319177793,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50422651,O=C(c1cccc2ccccc12)N(O)CCCP(=O)(O)O,229.0,6.640164517660112,309.258,2.2390000000000017,3,3,98.07000000000001,0.4468315064501554
50153713,O=CN(O)CCCP(=O)(O)O,230.0,6.638272163982407,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50028309,O=CN(O)CCCP(=O)([O-])O,230.0,6.638272163982407,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50379999,O=C(CCCP(=O)(O)O)NO,257.0,6.590066876668706,183.10000000000002,-0.5503000000000006,4,3,106.86000000000001,0.26552244934301084
50441195,CN(O)C(=O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,280.0,6.552841968657781,342.11500000000007,2.8400000000000025,3,3,98.07000000000001,0.43423248373574364
50441189,CN(O)C(=O)CSC(c1ccccc1)P(=O)(O)O,280.0,6.552841968657781,291.26500000000004,1.4436999999999998,3,4,98.07000000000001,0.4312579543821756
50181147,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,282.0,6.549750891680639,273.225,1.5332,3,3,98.07000000000001,0.4291274758078082
50441193,Cc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,290.0,6.5376020021010435,287.252,1.84162,3,3,98.07000000000001,0.4358705518948625
50528590,Cc1ccc(C(SCC(=O)NO)P(=O)(O)O)cc1,290.0,6.5376020021010435,291.26500000000004,1.4099199999999996,4,4,106.86000000000001,0.37107725269409003
50181147,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,311.0,6.507239610973162,273.225,1.5332,3,3,98.07000000000001,0.4291274758078082
50335483,CC(=O)N(O)CCC(c1ccccc1)P(=O)(O)O,311.0,6.507239610973162,273.225,1.5332,3,3,98.07000000000001,0.4291274758078082
50185363,O=CN(O)CC1CC1P(=O)(O)O,313.0,6.504455662453552,195.111,-0.5998000000000002,3,3,98.07000000000001,0.24061592857035916
50437797,O=C(c1ccccc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,320.0,6.494850021680094,404.1860000000001,4.133900000000004,3,3,98.07000000000001,0.3821433839123665
50028364,COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1OC,320.0,6.494850021680094,333.27700000000004,1.5503999999999998,3,5,116.53,0.39361065262821954
50181153,CC(=O)N(O)CCCP(=O)(O)O,320.0,6.494850021680094,197.127,-0.20809999999999984,3,3,98.07000000000001,0.328855787955969
50528602,O=C(CSC(c1cc(F)cc(F)c1)P(=O)(O)O)NO,320.0,6.494850021680094,313.218,1.3796999999999997,4,4,106.86000000000001,0.37159211761857264
701271,O=CN(O)CCCP(=O)([O-])O,340.0,6.468521082957745,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50459311,CC(=O)N(O)CCCP(=O)([O-])O,360.0,6.443697499232712,196.119,-0.8400999999999998,2,4,100.9,0.3465343313932355
50181149,CC(=O)N(O)CCC(c1ccc(C)cc1)P(=O)(O)O,396.0,6.402304814074488,287.252,1.8416200000000007,3,3,98.07000000000001,0.4358705518948625
50335482,CC(=O)N(O)CCC(c1ccc(C)cc1)P(=O)(O)O,396.0,6.402304814074488,287.252,1.8416200000000007,3,3,98.07000000000001,0.4358705518948625
50380000,CN(O)C(=O)CCCP(=O)(O)O,410.0,6.3872161432802645,197.127,-0.20810000000000006,3,3,98.07000000000001,0.328855787955969
50459310,O=CN(O)CC=CP(=O)([O-])O,410.0,6.3872161432802645,180.076,-1.1066,2,4,100.9,0.24709668969030466
50153713,O=CN(O)CCCP(=O)(O)O,438.0,6.3585258894959,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50153713,O=CN(O)CCCP(=O)(O)O,440.0,6.356547323513812,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50028373,COc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1,450.0,6.346787486224656,305.223,0.7357,3,5,116.53,0.40286508982277613
50181151,COc1ccc(C(CCN(O)C(C)=O)P(=O)(O)O)cc1,459.0,6.338187314462739,303.25100000000003,1.5418000000000003,3,4,107.30000000000001,0.41786744079266797
50335481,COc1ccc(C(CCN(O)C(C)=O)P(=O)(O)O)cc1,459.0,6.338187314462739,303.25100000000003,1.5418000000000003,3,4,107.30000000000001,0.41786744079266797
50153713,O=CN(O)CCCP(=O)(O)O,510.0,6.292429823902063,183.10000000000002,-0.5982000000000002,3,3,98.07000000000001,0.2286476674739753
50441209,CN(O)C(=O)CSC(c1cccc2ccccc12)P(=O)(O)O,550.0,6.259637310505756,341.3250000000001,2.5969000000000015,3,4,98.07000000000001,0.4392488838055567
50422677,CC(=O)N(O)CC(C)CP(=O)(O)O,646.0,6.189767482004916,211.154,0.037900000000000156,3,3,98.07000000000001,0.34614358551625257
701271,O=CN(O)CCCP(=O)([O-])O,670.0,6.173925197299173,182.092,-1.2302000000000002,2,4,100.9,0.23971734174146445
50528603,COc1cc(OC)cc(C(SCC(=O)NO)P(=O)(O)O)c1,680.0,6.167491087293763,337.29,1.1186999999999996,4,6,125.32000000000002,0.33126834216398193
50028310,Cc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,700.0,6.154901959985743,273.22499999999997,1.4994199999999993,4,3,106.86000000000001,0.3692732605760256
50422674,CCC(CCN(O)C(C)=O)P(=O)(O)O,708.0,6.149966742310231,225.18099999999998,0.5705000000000002,3,3,98.07000000000001,0.36071808567434593
50441205,O=C(CSC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O)NO,720.0,6.142667503568731,346.12800000000004,2.4083000000000006,4,4,106.86000000000001,0.37059207075333456
50441196,CN(O)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(O)O,770.0,6.113509274827518,309.20500000000004,1.8114000000000001,3,3,98.07000000000001,0.43761841570785626
50437803,Cc1ccccc1C(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,830.0,6.080921907623926,418.213,4.442320000000004,3,3,98.07000000000001,0.3661230840584333
50335493,O=P(O)(O)Cc1ccc(-c2ccccc2)cn1,840.0,6.075720713938118,249.20600000000005,2.4263000000000003,2,2,70.42,0.8193784969544962
50081649,CN(O)C(=O)CC(CCCc1ccccc1)CP(=O)([O-])O,843.0,6.074172425375258,314.29800000000006,1.4088999999999998,2,4,100.9,0.429054101046435
50422649,O=C(CCCOc1ccccc1)NCC(=O)N(O)CCCP(=O)(O)O,1000.0,6.0,374.33000000000015,0.7473999999999996,4,5,136.4,0.19410708871938018
