ligand_id,status,method,mensagem
50422661,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=20.
50422662,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=42.
50422663,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=27.
50422664,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=23.
50422665,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=29.
50422666,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=31.
50422669,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=27.
50422670,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=42.
50422671,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=30.
50422672,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=49.
50422673,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=34.
50422674,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=30.
50422676,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=33.
50422677,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=27.
50437792,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=50.
50437793,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=50.
50437794,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=50.
50437796,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=45.
50437797,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=41.
50437801,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=51.
50437802,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=44.
50437803,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=44.
50437804,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=37.
50437805,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=34.
50437806,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=30.
50441189,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=32.
50441191,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=31.
50441192,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=31.
50441193,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=37.
50441194,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=40.
50441195,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=34.
50441196,ok,Template_SMILES,Sucesso: Topologia via Template (match em átomos pesados). Estereo 3D OK. N_atoms=34.
