ligand_id,status,method,mensagem
15236,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=23.
50009001,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=20.
50028309,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=11.
50028310,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=18.
50028362,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=20.
50028363,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=19.
50028364,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=22.
50028371,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=21.
50028373,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=20.
50028380,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=19.
50028381,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=21.
50044967,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=34.
50044971,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=34.
50044973,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=34.
50044975,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=21.
50044976,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=20.
50081647,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=13.
50081649,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=21.
50081650,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=22.
50115109,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=17.
50135835,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=20.
50153713,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=11.
50181147,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=18.
50181148,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=20.
50181149,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=19.
50181150,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=19.
50181151,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=20.
50181152,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=19.
50181153,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=12.
50181154,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=19.
50185361,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=13.
50185362,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=14.
50185363,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=12.
50335486,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=14.
50335490,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=11.
50335491,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=11.
50335492,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=11.
50335493,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=17.
50335494,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=15.
50379999,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=11.
50380000,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=12.
50422641,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=18.
50422642,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=18.
50422643,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=15.
50422645,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=23.
50422646,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=14.
50422647,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=15.
50422649,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=25.
50422650,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=12.
50422651,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=21.
50422652,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=27.
50422653,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=18.
50422654,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=14.
50422656,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=14.
50422659,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=18.
50422661,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=11.
50422662,ok,PDB_Fallback,Falha no Template (átomos diferem). Usando PDB puro. Estereo 3D aplicada (replaceExistingTags=True). N_atoms=18.
