Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM,SMILES_CLEAN
35,50422666,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],IIWMVQGECOWGCK-UHFFFAOYSA-N,50422666,100.0,O=C(c1ccccc1)N(O)CCCP(=O)(O)O
37,50441208,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],YZELONIJQXNWSP-NSHDSACASA-N,50441208,110.0,Cc1ccc(C(SCC(=O)N(C)O)P(=O)(O)O)cc1
39,50181148,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],ABGCTQYLJZGMBM-LLVKDONJSA-N,50181148,119.0,CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
41,50441189,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IWQBQVIYTMIQRL-JTQLQIEISA-N,50441189,120.0,CN(O)C(=O)CSC(c1ccccc1)P(=O)(O)O
42,50437793,[H]ON(C(=O)c1c([H])c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],YQKYQGUPTJPWBR-SFHVURJKSA-N,50437793,140.0,O=C(c1cccc(Cn2cncn2)c1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
43,50028363,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],AEDDLQQMYHWTLI-JTQLQIEISA-N,50028363,140.0,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1
44,50181150,[H]ON(C([H])=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],KBQCOUQEQCYLJS-LLVKDONJSA-N,50181150,156.0,COc1ccc(C(CCN(O)C=O)P(=O)(O)O)cc1
48,50528597,[H]ON(C(=O)C([H])([H])S[C@]([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],RVEBSJDQWSFUER-GFCCVEGCSA-N,50528597,160.0,COc1cc(OC)cc(C(SCC(=O)N(C)O)P(=O)(O)O)c1
50,50379999,[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],AKXSFRVADDCWTF-UHFFFAOYSA-N,50379999,170.0,O=C(CCCP(=O)(O)O)NO
51,50459310,[H]ON(C([H])=O)C([H])([H])/C([H])=C(\[H])[P@@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])=C([H])P(=O)([O-])O[H],YTTBDWKRMPYBDN-HNQUOIGGSA-M,50459310,170.0,O=CN(O)CC=CP(=O)([O-])O
52,50422656,[H]ON(C(=O)C([H])(Cl)Cl)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])(Cl)Cl)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],KMYGXVTWNPXOEZ-UHFFFAOYSA-N,50422656,178.0,O=C(C(Cl)Cl)N(O)CCCP(=O)(O)O
53,50081647,[H]ON(C(=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],ACPXIHKQSXLCRP-YFKPBYRVSA-N,50081647,205.0,CC(CC(=O)N(C)O)CP(=O)(O)O
56,50422651,[H]ON(C(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GQEOAWGCRFYWAA-UHFFFAOYSA-N,50422651,229.0,O=C(c1cccc2ccccc12)N(O)CCCP(=O)(O)O
